,State,mean_pct_read_seng15,Sanitation,Electricity,avg_unemploy_state,avg_houshold_size,year,month,day,is_holiday,is_weekday
2546,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2015,04,26,0,0
3969,Taraba,39.3,68.22679639,79.30859923,16.8,5.28,2018,01,17,0,1
3373,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2016,11,18,0,1
4107,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,04,01,0,0
2444,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2015,03,10,0,1
4380,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,09,07,0,1
1066,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,10,14,0,0
3913,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,12,30,0,0
5287,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2020,05,20,0,1
5387,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2020,08,06,0,1
3498,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2017,03,02,0,1
2738,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,08,17,0,1
5052,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,12,17,0,1
4000,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2018,01,31,0,1
1568,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2014,02,01,0,0
2427,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,03,02,0,1
3746,Ondo,67.3,78.02134752,40.72911739,10.8,3.7,2017,08,24,0,1
5559,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2021,02,21,0,0
1687,Abuja,66.4,60.14161724575931,43.095502428373365,16.94285714,4.78,2014,03,30,0,0
851,Kano,27.8,45.01400292,52.19786167,17.02857143,6.36,2012,05,13,0,0
3546,Lagos,84.3,56.04365468,0.8463356644,15.21428571,4.08,2017,04,09,0,0
895,Edo,67.3,48.46425951,11.4923358,13.64285714,4.14,2012,06,17,0,0
4592,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,01,25,0,1
335,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2009,07,27,0,1
2839,Abuja,66.4,60.14161724575931,43.095502428373365,16.94285714,4.78,2015,11,17,0,1
3087,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2016,05,24,0,1
4611,Zamfara,14.9,58.76550674,70.27255893,32.35714286,5.36,2019,02,04,0,1
1348,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2013,04,27,0,0
1015,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,09,05,0,1
2816,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,10,19,0,1
1631,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2014,03,05,0,1
2489,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2015,03,31,0,1
3730,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2017,08,16,0,1
3251,Jigawa,17.3,67.1861887,73.35992455,19.17142857,6.36,2016,08,19,0,1
5553,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2021,01,29,0,1
2070,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2014,09,23,0,1
4452,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,11,02,0,1
5856,Akwa Ibom,75.5,60.14161724575931,43.095502428373365,19.28571429,4.66,2021,05,09,0,0
5408,Bayelsa,69.6,78.99032831,56.96880221,29.87142857,4.32,2020,08,29,0,0
1635,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2014,03,06,0,1
4646,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,02,16,0,0
2479,Bauchi,22.7,62.27546334,71.5275526,24.32857143,6.72,2015,03,29,0,0
2265,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2015,01,07,0,1
2959,Rivers,84.0,61.35121584,17.24127233,25.34285714,4.62,2016,03,05,0,0
5323,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2020,06,09,0,1
5670,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2021,02,23,0,1
3059,Taraba,39.3,68.22679639,79.30859923,16.8,5.28,2016,05,08,0,0
5053,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2019,12,17,0,1
2141,Gombe,29.2,56.97092414,56.9547236,19.62857143,5.98,2014,10,31,0,1
5104,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2020,01,17,0,1
3118,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2016,06,05,0,0
5188,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2020,03,01,0,0
5662,Edo,67.3,48.46425951,11.4923358,13.64285714,4.14,2021,02,17,0,1
4045,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,03,05,0,1
3356,Bayelsa,69.6,78.99032831,56.96880221,29.87142857,4.32,2016,11,15,0,1
2744,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,08,25,0,1
5092,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2020,01,14,0,1
3506,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,03,15,0,1
1679,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2014,03,27,0,1
4249,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2018,06,03,0,0
3147,Cross River,67.2,74.61053133,63.22547197,19.07142857,4.46,2016,06,22,0,1
2294,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,01,12,0,1
580,Gombe,29.2,56.97092414,56.9547236,19.62857143,5.98,2012,01,03,0,1
1470,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2013,10,22,0,1
